name,hometown,tour,rating
Abraham Ancer,Boise ID,PGA,9
Sam Bennett,Greenville SC,PGA,8
Keegan Bradley,Lewiston ME,PGA,7
Sam Burns,Toledo OH,PGA,6
Patrick Cantlay,Brookings SD,PGA,1
Cameron Champ,Chandler AZ,PGA,3
Stewart Cink,Lancaster PA,PGA,3
Corey Conners,Fargo ND,PGA,8
Fred Couples,Savannah GA,PGA,10
Harrison Crowe,Rockford IL,PGA,3
Jason Day,Bend OR,PGA,7
Bryson DeChambeau,Sioux City IA,PGA,5
Harris English,Billings MT,PGA,1
Mateo Fernandez de Oliveira,Asheville NC,PGA,6
Tony Finau,Lubbock TX,PGA,8
Matt Fitzpatrick,Charlottesville VA,PGA,8
Tommy Fleetwood,Reno NV,PGA,1
Ryan Fox,Amarillo TX,PGA,10
Sergio Garcia,Mobile AL,PGA,5
Talor Gooch,Helena MT,PGA,8
Brian Harman,Eugene OR,PGA,5
Tyrrell Hatton,Lawrence KS,PGA,9
Russell Henley,Sioux Falls SD,PGA,9
Kazuki Higa,Provo UT,PGA,7
Tom Hoge,Peoria IL,PGA,2
Max Homa,Knoxville TN,PGA,5
Billy Horschel,Albany NY,PGA,6
Viktor Hovland,Salem OR,PGA,3
Mackenzie Hughes,Green Bay WI,PGA,7
Sungjae Im,Spokane WA,PGA,6
Dustin Johnson,Tyler TX,PGA,4
Zach Johnson,Erie PA,PGA,1
Si Woo Kim,Medford OR,PGA,2
Tom Kim,Duluth MN,PGA,3
Chris Kirk,Augusta GA,PGA,6
Kevin Kisner,Roanoke VA,PGA,8
Kurt Kitayama,Lincoln NE,PGA,3
Brooks Koepka,Flagstaff AZ,PGA,5
Jason Kokrak,Lafayette LA,PGA,2
Bernhard Langer,Allentown PA,PGA,6
K.H. Lee,Syracuse NY,PGA,2
Min Woo Lee,Spartanburg SC,PGA,2
Shane Lowry,Bismarck ND,PGA,8
Sandy Lyle,Pueblo CO,PGA,7
Hideki Matsuyama,Champaign IL,PGA,4
Rory McIlroy,Burlington VT,PGA,7
Phil Mickelson,Hickory NC,PGA,8
Francesco Molinari,College Station TX,PGA,9
Collin Morikawa,Youngstown OH,PGA,7
Kevin Na,Shreveport LA,PGA,8
Joaquin Niemann,Bozeman MT,PGA,9
Jose Maria Olazabal,Tempe AZ,PGA,6
Louis Oosthuizen,Cedar Rapids IA,PGA,8
Mito Pereira,Reading PA,PGA,6
Thomas Pieters,Spokane Valley WA,PGA,10
J.T. Poston,Lexington KY,PGA,3
Seamus Power,Rapid City SD,PGA,6
Jon Rahm,Fort Collins CO,PGA,9
Patrick Reed,Tallahassee FL,PGA,8
Justin Rose,Norfolk VA,PGA,3
Xander Schauffele,Chico CA,PGA,7
Scottie Scheffler,Omaha NE,PGA,4
Charl Schwartzel,Lynchburg VA,PGA,1
Adam Scott,Evanston IL,PGA,3
Vijay Singh,Abilene TX,PGA,2
Cameron Smith,Lakewood CO,PGA,10
Jordan Spieth,Johnson City TN,PGA,9
Scott Stallings,Huntsville AL,PGA,3
Sepp Straka,Topeka KS,PGA,6
Sahith Theegala,Springfield MO,PGA,10
Justin Thomas,St. Cloud MN,PGA,2
Bubba Watson,Winston-Salem NC,PGA,4
Mike Weir,Baton Rouge LA,PGA,4
Danny Willett,Shawnee OK,PGA,1
Gary Woodland,Fort Wayne IN,PGA,7
Tiger Woods,Greensboro NC,PGA,6
Cameron Young,Chandler AZ,PGA,8
