golfer_id,tournament_id,round_number,score,relative_to_par
1,1,1,71,-1
1,1,2,74,2
1,1,3,69,-3
1,1,4,72,0
2,1,1,73,1
2,1,2,70,-2
2,1,3,75,3
2,1,4,71,-1
3,1,1,72,0
3,1,2,76,4
3,1,3,70,-2
3,1,4,74,2
4,1,1,78,6
4,1,2,75,3
4,1,3,77,5
4,1,4,74,2
5,1,1,70,-2
5,1,2,69,-3
5,1,3,73,1
5,1,4,72,0
6,1,1,74,2
6,1,2,73,1
6,1,3,75,3
6,1,4,72,0
7,1,1,71,-1
7,1,2,73,1
7,1,3,70,-2
7,1,4,72,0
8,1,1,69,-3
8,1,2,71,-1
8,1,3,73,1
8,1,4,74,2
9,1,1,72,0
9,1,2,70,-2
9,1,3,74,2
9,1,4,71,-1
10,1,1,75,3
10,1,2,74,2
10,1,3,76,4
10,1,4,73,1
11,1,1,71,-1
11,1,2,69,-3
11,1,3,73,1
11,1,4,72,0
12,1,1,68,-4
12,1,2,70,-2
12,1,3,72,0
12,1,4,71,-1
13,1,1,77,5
13,1,2,76,4
13,1,3,75,3
13,1,4,78,6
14,1,1,72,0
14,1,2,74,2
14,1,3,71,-1
14,1,4,70,-2
15,1,1,71,-1
15,1,2,72,0
15,1,3,73,1
15,1,4,75,3
16,1,1,70,-2
16,1,2,71,-1
16,1,3,72,0
16,1,4,74,2
17,1,1,73,1
17,1,2,69,-3
17,1,3,72,0
17,1,4,75,3
18,1,1,72,0
18,1,2,74,2
18,1,3,71,-1
18,1,4,73,1
19,1,1,70,-2
19,1,2,72,0
19,1,3,74,2
19,1,4,69,-3
20,1,1,74,2
20,1,2,76,4
20,1,3,75,3
20,1,4,72,0
21,1,1,77,5
21,1,2,75,3
21,1,3,73,1
21,1,4,72,0
22,1,1,71,-1
22,1,2,72,0
22,1,3,69,-3
22,1,4,73,1
23,1,1,74,2
23,1,2,78,6
23,1,3,73,1
23,1,4,75,3
24,1,1,70,-2
24,1,2,72,0
24,1,3,73,1
24,1,4,71,-1
25,1,1,76,4
25,1,2,74,2
25,1,3,73,1
25,1,4,77,5
26,1,1,71,-1
26,1,2,69,-3
26,1,3,70,-2
26,1,4,72,0
27,1,1,72,0
27,1,2,73,1
27,1,3,71,-1
27,1,4,75,3
28,1,1,70,-2
28,1,2,71,-1
28,1,3,74,2
28,1,4,73,1
29,1,1,72,0
29,1,2,74,2
29,1,3,75,3
29,1,4,71,-1
30,1,1,71,-1
30,1,2,72,0
30,1,3,70,-2
30,1,4,73,1
31,1,1,69,-3
31,1,2,70,-2
31,1,3,72,0
31,1,4,74,2
32,1,1,72,0
32,1,2,73,1
32,1,3,71,-1
32,1,4,70,-2
33,1,1,74,2
33,1,2,75,3
33,1,3,73,1
33,1,4,70,-2
34,1,1,72,0
34,1,2,74,2
34,1,3,76,4
34,1,4,71,-1
35,1,1,69,-3
35,1,2,70,-2
35,1,3,72,0
35,1,4,74,2
36,1,1,75,3
36,1,2,73,1
36,1,3,72,0
36,1,4,74,2
37,1,1,70,-2
37,1,2,69,-3
37,1,3,71,-1
37,1,4,73,1
38,1,1,72,0
38,1,2,71,-1
38,1,3,74,2
38,1,4,70,-2
39,1,1,74,2
39,1,2,76,4
39,1,3,72,0
39,1,4,73,1
40,1,1,70,-2
40,1,2,71,-1
40,1,3,73,1
40,1,4,72,0
41,1,1,76,4
41,1,2,74,2
41,1,3,75,3
41,1,4,72,0
42,1,1,72,0
42,1,2,71,-1
42,1,3,73,1
42,1,4,74,2
43,1,1,73,1
43,1,2,74,2
